"Timestamp","Email ID","Branch of Visit","Date of Visit","Time of Visit","Gender","Age Group","How often do you visit our store?","Which of the following categories do you usually shop for?","How satisfied are you with the overall cleanliness of our store?","How would you rate the availability of products you need?","How satisfied are you with the behaviour of our staff?","How would you rate the prices of our products compared to other stores?","Have you used our online shopping platform?","Would you recommend our store to others?","How would you rate our store's return policy?","How satisfied are you with the variety of products available?","How likely are you to visit our store again?","",""
"2024/08/03 9:13:30 AM GMT+5:30","andersonbianca@example.org","Bangalore","2023-03-23","11:33 AM","Male","Under 18","Weekly","Groceries;Clothing;Electronics;Toys & Games;Stationery","3","3","5","2","Yes","Yes","2","1","1","",""
"2024/08/03 9:13:57 AM GMT+5:30","zoe52@example.org","Dehradun","2023-01-14","04:56 PM","Female","55-64","Daily","Groceries;Electronics;Stationery","1","3","1","3","No","Yes","3","3","4","",""
"2024/08/03 9:14:22 AM GMT+5:30","scottrodriguez@example.org","Lucknow","2023-08-29","10:44 AM","Female","25-34","Daily","Clothing;Electronics","5","5","2","4","Yes","No","1","1","3","",""
"2024/08/03 9:14:48 AM GMT+5:30","andrewgraves@example.com","Bangalore","2023-10-31","02:45 PM","Male","25-34","Weekly","Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","5","3","3","3","Yes","No","5","2","2","",""
"2024/08/03 9:15:12 AM GMT+5:30","johncooper@example.net","Ahmedabad","2023-04-10","10:06 AM","Female","35-44","Weekly","Clothing","5","4","3","5","No","No","4","1","3","",""
"2024/08/03 9:15:37 AM GMT+5:30","tasharodriguez@example.com","Jaipur","2023-10-11","09:33 AM","Male","25-34","Daily","","4","3","4","4","Yes","No","4","4","5","",""
"2024/08/03 9:16:01 AM GMT+5:30","millercatherine@example.net","Dehradun","2023-04-01","06:12 PM","Male","18-24","Bi-weekly","Toys & Games","4","2","5","1","No","No","5","2","2","",""
"2024/08/03 9:16:25 AM GMT+5:30","bwashington@example.net","Jaipur","2023-02-01","05:13 PM","Male","Under 18","Occasioanlly","Electronics","2","2","4","2","Yes","No","3","1","1","",""
"2024/08/03 9:16:52 AM GMT+5:30","aliciavillanueva@example.net","Ludhiana","2023-11-16","03:30 PM","Male","35-44","Daily","Groceries;Clothing;Stationery","2","2","1","1","No","No","4","2","3","",""
"2024/08/03 9:17:16 AM GMT+5:30","cody27@example.net","Kolkata","2023-09-18","01:00 PM","Male","18-24","Occasioanlly","Electronics;Home & Kitchen;Hygiene & Sanitation","3","1","1","2","Yes","Yes","5","2","5","",""
"2024/08/03 9:17:41 AM GMT+5:30","ewalker@example.net","Trivandrum","2023-12-23","02:12 PM","Female","Under 18","Monthly","Clothing;Home & Kitchen","1","4","4","3","No","Yes","2","3","5","",""
"2024/08/03 9:18:08 AM GMT+5:30","glendaromero@example.org","Pune","2023-05-25","08:44 PM","Male","35-44","Bi-weekly","Toys & Games","2","3","4","3","No","Yes","3","5","1","",""
"2024/08/03 9:18:33 AM GMT+5:30","michaelsmith@example.net","Kanpur","2023-05-16","12:25 PM","Male","35-44","Bi-weekly","Groceries;Electronics;Hygiene & Sanitation;Stationery","4","2","2","2","Yes","Yes","1","2","4","",""
"2024/08/03 9:19:01 AM GMT+5:30","barrettbrandon@example.net","Bangalore","2023-07-03","12:37 PM","Female","18-24","Daily","Clothing;Electronics;Hygiene & Sanitation","1","4","5","3","No","No","1","5","3","",""
"2024/08/03 9:19:28 AM GMT+5:30","bduke@example.org","Lucknow","2023-06-17","01:53 PM","Male","55-64","Occasioanlly","Groceries;Clothing;Electronics;Hygiene & Sanitation;Toys & Games","5","5","2","4","Yes","No","2","1","4","",""
"2024/08/03 9:19:56 AM GMT+5:30","sarahknapp@example.net","Lucknow","2023-12-13","08:12 AM","Female","Under 18","Weekly","Electronics;Home & Kitchen;Hygiene & Sanitation","5","2","2","2","No","Yes","2","1","4","",""
"2024/08/03 9:20:20 AM GMT+5:30","uwallace@example.net","Dehradun","2023-04-30","02:58 PM","Female","35-44","Weekly","Electronics","1","1","1","1","Yes","No","3","2","4","",""
"2024/08/03 9:20:45 AM GMT+5:30","riveraelizabeth@example.org","Kolkata","2023-11-03","12:30 PM","Male","25-34","Occasioanlly","Home & Kitchen","1","4","3","5","No","Yes","4","1","4","",""
"2024/08/03 9:21:10 AM GMT+5:30","davisphilip@example.org","Kolkata","2023-04-10","08:03 AM","Female","55-64","Occasioanlly","Hygiene & Sanitation;Stationery","5","3","3","3","No","No","4","2","2","",""
"2024/08/03 9:21:38 AM GMT+5:30","alec14@example.net","Ludhiana","2023-05-14","11:49 AM","Female","25-34","Bi-weekly","Clothing;Hygiene & Sanitation;Toys & Games","2","4","3","3","No","No","1","3","2","",""
"2024/08/03 9:22:04 AM GMT+5:30","travis97@example.net","Bangalore","2023-05-18","11:06 AM","Female","25-34","Monthly","Toys & Games;Stationery","3","2","1","4","No","Yes","5","4","5","",""
"2024/08/03 9:22:30 AM GMT+5:30","douglascourtney@example.org","Delhi","2023-09-24","10:48 AM","Male","35-44","Monthly","Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","1","1","5","2","No","No","2","4","1","",""
"2024/08/03 9:22:54 AM GMT+5:30","qfernandez@example.org","Bangalore","2023-03-13","12:29 PM","Male","35-44","Weekly","Home & Kitchen","5","4","1","3","No","No","2","3","3","",""
"2024/08/03 9:23:18 AM GMT+5:30","matthewsanders@example.org","Lucknow","2023-05-30","06:33 PM","Male","45-54","Monthly","Electronics","3","2","5","1","No","No","3","3","3","",""
"2024/08/03 9:23:48 AM GMT+5:30","meganjones@example.net","Kolkata","2023-01-14","05:00 PM","Male","Under 18","Monthly","Electronics;Hygiene & Sanitation","1","2","4","1","Yes","Yes","3","2","3","",""
"2024/08/03 9:24:11 AM GMT+5:30","michaelcooper@example.net","Jaipur","2023-08-09","09:34 AM","Male","65 and above","Monthly","Home & Kitchen","3","5","4","1","No","Yes","5","2","2","",""
"2024/08/03 9:24:37 AM GMT+5:30","kennethweaver@example.com","Lucknow","2023-09-19","01:40 PM","Female","18-24","Occasioanlly","Home & Kitchen;Hygiene & Sanitation","2","2","3","4","No","No","3","2","1","",""
"2024/08/03 9:25:03 AM GMT+5:30","carol04@example.net","Mumbai","2023-02-20","02:49 PM","Male","18-24","Daily","Clothing;Stationery","5","2","2","5","No","Yes","3","4","1","",""
"2024/08/03 9:25:27 AM GMT+5:30","halljennifer@example.com","Jaipur","2023-12-25","06:39 PM","Female","35-44","Weekly","Toys & Games","4","1","2","1","Yes","Yes","3","3","4","",""
"2024/08/03 9:25:52 AM GMT+5:30","chad16@example.org","Bangalore","2023-01-05","06:56 PM","Female","35-44","Monthly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","4","1","2","1","No","Yes","1","5","1","",""
"2024/08/03 9:26:18 AM GMT+5:30","vfoster@example.net","Bangalore","2023-10-10","10:03 AM","Female","35-44","Bi-weekly","Groceries;Hygiene & Sanitation;Toys & Games;Stationery","3","4","5","1","No","No","4","5","5","",""
"2024/08/03 9:26:42 AM GMT+5:30","thomaseric@example.com","Mumbai","2023-08-13","12:39 PM","Male","45-54","Occasioanlly","Groceries;Home & Kitchen;Toys & Games","1","5","2","2","No","Yes","3","5","1","",""
"2024/08/03 9:27:06 AM GMT+5:30","njones@example.net","Pune","2023-11-04","01:39 PM","Female","45-54","Bi-weekly","Hygiene & Sanitation","1","5","3","1","No","Yes","4","4","4","",""
"2024/08/03 9:27:30 AM GMT+5:30","fgardner@example.net","Lucknow","2023-08-22","08:26 PM","Female","35-44","Daily","Clothing;Electronics;Home & Kitchen;Toys & Games","5","5","5","4","No","No","3","4","5","",""
"2024/08/03 9:27:57 AM GMT+5:30","kenneth79@example.org","Chennai","2023-05-11","08:41 AM","Male","18-24","Bi-weekly","Electronics","1","5","1","2","No","Yes","2","5","5","",""
"2024/08/03 9:28:24 AM GMT+5:30","william76@example.com","Bangalore","2023-11-23","08:35 AM","Male","18-24","Weekly","Groceries;Hygiene & Sanitation;Stationery","1","4","2","4","Yes","Yes","5","4","3","",""
"2024/08/03 9:28:50 AM GMT+5:30","wisericardo@example.com","Delhi","2023-05-29","03:36 PM","Male","18-24","Occasioanlly","Groceries;Hygiene & Sanitation;Toys & Games;Stationery","4","4","1","5","No","Yes","1","4","5","",""
"2024/08/03 9:29:15 AM GMT+5:30","meyerkenneth@example.net","Hyderabad","2023-06-13","12:36 PM","Female","55-64","Weekly","Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","3","1","4","2","Yes","No","4","5","5","",""
"2024/08/03 9:29:42 AM GMT+5:30","anthonyperez@example.com","Hyderabad","2023-05-15","07:44 PM","Female","45-54","Bi-weekly","Groceries;Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","5","4","2","3","No","Yes","2","2","3","",""
"2024/08/03 9:30:06 AM GMT+5:30","phillipsemma@example.com","Trivandrum","2023-05-28","01:04 PM","Female","25-34","Weekly","Groceries;Clothing;Home & Kitchen","1","3","3","1","No","Yes","4","3","2","",""
"2024/08/03 9:30:32 AM GMT+5:30","emcdonald@example.org","Chennai","2023-01-11","09:47 AM","Female","Under 18","Bi-weekly","Groceries","2","5","4","3","Yes","Yes","5","1","2","",""
"2024/08/03 9:31:02 AM GMT+5:30","toniramirez@example.com","Dehradun","2023-10-08","08:11 AM","Male","Under 18","Monthly","Groceries;Electronics;Toys & Games","4","1","1","2","No","Yes","1","1","3","",""
"2024/08/03 9:31:27 AM GMT+5:30","nthomas@example.com","Trivandrum","2023-12-15","02:50 PM","Female","25-34","Daily","Groceries;Electronics;Hygiene & Sanitation;Toys & Games","4","5","5","1","No","No","4","5","2","",""
"2024/08/03 9:31:57 AM GMT+5:30","rosesean@example.net","Jaipur","2023-04-17","07:10 PM","Female","Under 18","Monthly","Groceries;Electronics;Toys & Games","3","5","3","5","No","Yes","4","3","4","",""
"2024/08/03 9:32:23 AM GMT+5:30","michael10@example.org","Lucknow","2023-08-24","07:24 PM","Female","55-64","Weekly","Clothing","2","2","3","5","Yes","No","5","5","4","",""
"2024/08/03 9:32:51 AM GMT+5:30","melissa30@example.com","Lucknow","2023-02-03","05:18 PM","Female","Under 18","Occasioanlly","Electronics;Hygiene & Sanitation;Toys & Games;Stationery","2","3","1","4","No","Yes","2","3","1","",""
"2024/08/03 9:33:17 AM GMT+5:30","peterrobinson@example.com","Bangalore","2023-01-16","03:56 PM","Male","45-54","Daily","Toys & Games","2","1","5","4","Yes","Yes","5","4","4","",""
"2024/08/03 9:33:45 AM GMT+5:30","stephensjohn@example.org","Ludhiana","2023-03-20","01:37 PM","Male","25-34","Daily","Groceries;Clothing;Electronics;Hygiene & Sanitation;Toys & Games;Stationery","1","5","4","3","No","No","4","4","1","",""
"2024/08/03 9:34:11 AM GMT+5:30","fmcdonald@example.net","Trivandrum","2023-10-16","07:59 PM","Female","65 and above","Monthly","Stationery","5","5","1","3","No","No","5","4","4","",""
"2024/08/03 9:34:38 AM GMT+5:30","jgarcia@example.org","Pune","2023-05-15","07:40 PM","Female","25-34","Daily","Electronics;Hygiene & Sanitation;Toys & Games","4","5","4","5","Yes","No","2","2","2","",""
"2024/08/03 9:35:06 AM GMT+5:30","fowlersabrina@example.org","Trivandrum","2023-06-21","04:39 PM","Male","55-64","Daily","Electronics;Hygiene & Sanitation","5","2","4","2","Yes","No","2","2","5","",""
"2024/08/03 9:35:34 AM GMT+5:30","schroederashley@example.net","Ahmedabad","2023-07-10","05:20 PM","Male","25-34","Bi-weekly","Home & Kitchen;Toys & Games","1","5","5","4","No","Yes","3","4","3","",""
"2024/08/03 9:36:01 AM GMT+5:30","timothysantiago@example.org","Surat","2023-12-15","10:31 AM","Female","45-54","Occasioanlly","Electronics;Hygiene & Sanitation","4","5","2","5","No","Yes","1","3","4","",""
"2024/08/03 9:36:32 AM GMT+5:30","allenamanda@example.org","Ahmedabad","2023-07-19","08:07 AM","Male","Under 18","Monthly","Clothing;Hygiene & Sanitation;Toys & Games","4","1","5","4","Yes","Yes","5","2","2","",""
"2024/08/03 9:37:00 AM GMT+5:30","morrisdaniel@example.com","Jaipur","2023-07-01","09:53 AM","Female","45-54","Bi-weekly","Clothing;Hygiene & Sanitation","2","5","5","4","No","No","1","3","3","",""
"2024/08/03 9:37:29 AM GMT+5:30","qharrison@example.org","Chennai","2023-12-01","01:53 PM","Male","65 and above","Monthly","Electronics;Stationery","4","4","4","4","Yes","No","1","1","5","",""
"2024/08/03 9:37:56 AM GMT+5:30","stevenhernandez@example.com","Pune","2023-04-20","08:13 AM","Male","65 and above","Monthly","Electronics;Toys & Games","1","5","3","3","Yes","Yes","2","5","5","",""
"2024/08/03 9:38:23 AM GMT+5:30","karina18@example.com","Chennai","2023-05-25","07:49 PM","Male","18-24","Monthly","Clothing;Hygiene & Sanitation;Toys & Games","1","4","5","1","No","Yes","2","5","5","",""
"2024/08/03 9:38:52 AM GMT+5:30","hernandeztyler@example.org","Delhi","2023-03-24","06:55 PM","Female","25-34","Weekly","Groceries;Clothing;Electronics;Toys & Games","3","5","2","2","Yes","Yes","4","2","4","",""
"2024/08/03 9:39:19 AM GMT+5:30","emilymiller@example.org","Pune","2023-02-16","03:36 PM","Male","18-24","Monthly","Electronics;Home & Kitchen;Toys & Games","1","4","1","4","No","Yes","1","2","5","",""
"2024/08/03 9:39:45 AM GMT+5:30","timothymoon@example.org","Ahmedabad","2023-10-03","08:41 AM","Female","18-24","Occasioanlly","Hygiene & Sanitation","5","2","2","5","No","Yes","5","3","2","",""
"2024/08/03 9:40:12 AM GMT+5:30","hardylogan@example.com","Kanpur","2023-07-25","10:42 AM","Male","Under 18","Bi-weekly","Electronics;Home & Kitchen;Stationery","4","2","3","4","Yes","Yes","4","1","2","",""
"2024/08/03 9:40:45 AM GMT+5:30","mariasawyer@example.org","Bangalore","2023-01-13","12:05 PM","Female","45-54","Monthly","Groceries;Clothing;Electronics;Hygiene & Sanitation","3","2","2","1","Yes","Yes","3","1","1","",""
"2024/08/03 9:41:12 AM GMT+5:30","huffsteven@example.com","Dehradun","2023-08-25","02:38 PM","Male","45-54","Bi-weekly","Groceries;Hygiene & Sanitation;Stationery","1","5","1","3","Yes","Yes","1","3","4","",""
"2024/08/03 9:41:45 AM GMT+5:30","bpratt@example.com","Trivandrum","2023-03-15","08:50 AM","Female","65 and above","Bi-weekly","Groceries;Clothing;Electronics;Home & Kitchen;Toys & Games;Stationery","2","4","2","4","No","Yes","4","5","1","",""
"2024/08/03 9:42:11 AM GMT+5:30","oramos@example.com","Delhi","2023-03-05","03:23 PM","Male","45-54","Occasioanlly","Stationery","5","5","1","5","No","Yes","2","3","4","",""
"2024/08/03 9:42:41 AM GMT+5:30","qstewart@example.net","Trivandrum","2023-11-29","12:24 PM","Female","Under 18","Bi-weekly","Groceries;Clothing;Electronics;Home & Kitchen;Toys & Games","1","1","3","3","No","Yes","3","5","1","",""
"2024/08/03 9:43:08 AM GMT+5:30","amyfitzgerald@example.com","Kanpur","2023-04-09","07:34 PM","Female","45-54","Bi-weekly","Home & Kitchen","3","5","1","4","Yes","Yes","2","4","3","",""
"2024/08/03 9:43:41 AM GMT+5:30","adamscheryl@example.org","Chennai","2023-11-25","02:41 PM","Male","65 and above","Occasioanlly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation","1","5","5","5","No","No","2","2","2","",""
"2024/08/03 9:44:10 AM GMT+5:30","hernandezsharon@example.org","Jaipur","2023-07-11","01:32 PM","Male","65 and above","Daily","Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","3","4","2","2","Yes","Yes","5","5","4","",""
"2024/08/03 9:44:37 AM GMT+5:30","sarahherrera@example.net","Trivandrum","2023-12-13","10:03 AM","Female","Under 18","Occasioanlly","Groceries;Clothing;Electronics","1","2","5","2","Yes","No","2","4","1","",""
"2024/08/03 9:45:05 AM GMT+5:30","thomasmaldonado@example.net","Surat","2023-08-07","05:44 PM","Male","18-24","Weekly","","3","4","4","5","No","Yes","1","4","2","",""
"2024/08/03 9:45:34 AM GMT+5:30","michaelvelasquez@example.com","Ahmedabad","2023-12-25","04:36 PM","Male","35-44","Bi-weekly","Home & Kitchen","3","2","4","2","Yes","No","2","5","3","",""
"2024/08/03 9:46:02 AM GMT+5:30","owensnicole@example.com","Chennai","2023-12-14","08:35 PM","Female","45-54","Occasioanlly","Groceries;Clothing;Home & Kitchen;Stationery","3","4","1","4","Yes","Yes","1","4","4","",""
"2024/08/03 9:46:29 AM GMT+5:30","davidfernandez@example.org","Surat","2023-02-24","11:56 AM","Female","35-44","Bi-weekly","Clothing;Hygiene & Sanitation;Toys & Games","4","4","3","5","No","Yes","4","5","5","",""
"2024/08/03 9:46:57 AM GMT+5:30","natashaking@example.org","Pune","2023-06-23","08:07 PM","Female","35-44","Weekly","Groceries;Home & Kitchen;Hygiene & Sanitation;Stationery","3","4","5","3","Yes","No","4","2","3","",""
"2024/08/03 9:47:23 AM GMT+5:30","petersonmarilyn@example.net","Ahmedabad","2023-08-25","11:05 AM","Male","45-54","Occasioanlly","Groceries","1","5","5","4","No","No","4","1","2","",""
"2024/08/03 9:47:51 AM GMT+5:30","carla19@example.org","Ludhiana","2023-07-15","02:54 PM","Female","45-54","Daily","Electronics;Hygiene & Sanitation","1","3","5","1","Yes","Yes","1","2","1","",""
"2024/08/03 9:48:20 AM GMT+5:30","qlewis@example.net","Chennai","2023-11-23","11:11 AM","Female","65 and above","Daily","Home & Kitchen;Toys & Games","1","4","4","1","Yes","Yes","2","1","5","",""
"2024/08/03 9:48:46 AM GMT+5:30","justin70@example.org","Mumbai","2023-01-02","06:14 PM","Female","45-54","Bi-weekly","Electronics","1","5","3","4","Yes","Yes","5","4","5","",""
"2024/08/03 9:49:16 AM GMT+5:30","ibradley@example.org","Mumbai","2023-11-19","08:22 PM","Male","45-54","Bi-weekly","Groceries;Clothing;Electronics;Toys & Games;Stationery","3","3","1","4","No","No","1","4","1","",""
"2024/08/03 9:49:44 AM GMT+5:30","daryl36@example.org","Ludhiana","2023-04-22","07:53 PM","Male","25-34","Occasioanlly","Hygiene & Sanitation;Toys & Games;Stationery","1","2","5","1","Yes","Yes","1","2","4","",""
"2024/08/03 9:50:18 AM GMT+5:30","erica15@example.org","Kanpur","2023-05-16","11:47 AM","Male","Under 18","Bi-weekly","Groceries;Electronics;Hygiene & Sanitation","5","2","2","5","Yes","Yes","2","2","2","",""
"2024/08/03 9:50:52 AM GMT+5:30","emcguire@example.net","Dehradun","2023-04-08","06:46 PM","Male","65 and above","Monthly","Groceries;Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation","5","2","4","2","Yes","Yes","5","3","1","",""
"2024/08/03 9:51:20 AM GMT+5:30","bullockjoseph@example.com","Kolkata","2023-04-20","12:03 PM","Female","25-34","Bi-weekly","Electronics;Home & Kitchen","1","1","1","2","No","Yes","3","1","4","",""
"2024/08/03 9:51:50 AM GMT+5:30","wilsongeorge@example.net","Ludhiana","2023-10-24","03:29 PM","Female","55-64","Weekly","Groceries;Clothing;Home & Kitchen;Toys & Games;Stationery","3","2","5","5","Yes","No","5","2","5","",""
"2024/08/03 9:52:22 AM GMT+5:30","allendonald@example.org","Lucknow","2023-08-08","05:06 PM","Male","18-24","Daily","Groceries;Clothing;Home & Kitchen;Toys & Games;Stationery","3","2","4","3","Yes","No","1","4","3","",""
"2024/08/03 9:52:50 AM GMT+5:30","fosterrobin@example.com","Kanpur","2023-11-30","04:57 PM","Male","18-24","Weekly","Groceries;Clothing;Electronics;Home & Kitchen","5","2","1","2","No","No","1","2","1","",""
"2024/08/03 9:53:24 AM GMT+5:30","martinezjeremy@example.com","Ludhiana","2023-05-01","05:18 PM","Male","Under 18","Daily","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation","5","4","1","4","Yes","Yes","1","5","4","",""
"2024/08/03 9:53:51 AM GMT+5:30","ellisluis@example.net","Kolkata","2023-04-06","01:28 PM","Female","55-64","Monthly","Toys & Games","5","1","3","2","Yes","Yes","5","5","3","",""
"2024/08/03 9:54:19 AM GMT+5:30","josephtaylor@example.org","Trivandrum","2023-03-21","03:41 PM","Female","35-44","Monthly","Hygiene & Sanitation;Stationery","5","3","4","2","No","No","3","4","3","",""
"2024/08/03 9:54:52 AM GMT+5:30","qgrimes@example.net","Chennai","2023-02-21","08:59 AM","Male","65 and above","Bi-weekly","Groceries;Clothing","5","4","4","1","No","Yes","4","4","4","",""
"2024/08/03 9:55:25 AM GMT+5:30","qdavis@example.net","Chennai","2023-12-30","07:39 PM","Female","45-54","Daily","Hygiene & Sanitation;Stationery","4","2","2","2","No","No","3","3","1","",""
"2024/08/03 9:55:56 AM GMT+5:30","ashley73@example.org","Jaipur","2023-07-26","12:06 PM","Male","35-44","Bi-weekly","Clothing;Hygiene & Sanitation;Stationery","2","5","3","4","Yes","Yes","4","5","1","",""
"2024/08/03 9:56:24 AM GMT+5:30","james24@example.org","Bangalore","2023-01-12","08:51 AM","Female","Under 18","Monthly","Electronics;Hygiene & Sanitation","5","1","1","5","No","Yes","5","3","5","",""
"2024/08/03 9:56:51 AM GMT+5:30","tabitha41@example.net","Kanpur","2023-05-16","03:32 PM","Female","65 and above","Daily","Groceries","3","1","4","4","No","No","3","1","4","",""
"2024/08/03 9:57:21 AM GMT+5:30","robersonmelanie@example.net","Ludhiana","2023-12-01","07:02 PM","Female","18-24","Daily","Electronics;Hygiene & Sanitation;Stationery","4","2","2","2","No","Yes","5","5","2","",""
"2024/08/03 9:57:49 AM GMT+5:30","carmenjenkins@example.net","Ahmedabad","2023-01-10","07:11 PM","Female","25-34","Daily","Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","2","2","1","5","No","Yes","4","5","1","",""
"2024/08/03 9:58:20 AM GMT+5:30","beth63@example.net","Trivandrum","2023-07-12","11:10 AM","Female","65 and above","Weekly","Groceries;Home & Kitchen;Hygiene & Sanitation","2","2","1","1","No","No","5","1","4","",""
"2024/08/03 9:58:48 AM GMT+5:30","amber99@example.net","Jaipur","2023-11-18","04:26 PM","Female","45-54","Monthly","","1","5","3","5","Yes","No","2","5","3","",""
"2024/08/03 9:59:18 AM GMT+5:30","lauren88@example.net","Bangalore","2023-06-09","10:42 AM","Female","55-64","Weekly","Clothing;Toys & Games;Stationery","4","4","3","1","No","No","5","4","1","",""
"2024/08/03 9:59:46 AM GMT+5:30","christopher03@example.org","Pune","2023-05-18","08:29 AM","Female","65 and above","Daily","Groceries;Toys & Games","2","3","1","5","Yes","Yes","4","5","1","",""
"2024/08/03 10:00:13 AM GMT+5:30","olivia84@example.com","Hyderabad","2023-06-08","11:10 AM","Female","65 and above","Monthly","Hygiene & Sanitation","2","3","5","4","No","Yes","1","3","4","",""
"2024/08/03 10:00:39 AM GMT+5:30","youngangela@example.net","Surat","2023-07-18","01:08 PM","Female","35-44","Weekly","Hygiene & Sanitation","3","2","4","1","No","Yes","5","2","5","",""
"2024/08/03 10:01:09 AM GMT+5:30","michael78@example.com","Ludhiana","2023-02-19","05:20 PM","Male","25-34","Bi-weekly","Groceries;Electronics;Hygiene & Sanitation","5","4","1","2","No","No","5","3","2","",""
"2024/08/03 10:01:37 AM GMT+5:30","erin67@example.org","Bangalore","2023-09-12","09:47 AM","Female","Under 18","Weekly","Groceries;Clothing;Electronics","3","1","2","4","Yes","No","4","4","5","",""
"2024/08/03 10:02:07 AM GMT+5:30","mary70@example.org","Lucknow","2023-01-04","08:40 AM","Male","35-44","Bi-weekly","Groceries;Clothing;Hygiene & Sanitation;Toys & Games;Stationery","5","3","4","1","Yes","Yes","5","4","5","",""
"2024/08/03 10:02:34 AM GMT+5:30","gherring@example.net","Mumbai","2023-06-24","06:11 PM","Male","65 and above","Weekly","Electronics","4","3","1","3","No","Yes","1","5","1","",""
"2024/08/03 10:03:05 AM GMT+5:30","sharon42@example.com","Kanpur","2023-02-28","02:58 PM","Male","25-34","Occasioanlly","Groceries;Toys & Games;Stationery","4","5","2","1","Yes","Yes","3","5","3","",""
"2024/08/03 10:03:36 AM GMT+5:30","mullengary@example.com","Ahmedabad","2023-04-03","08:37 AM","Male","18-24","Bi-weekly","Electronics;Hygiene & Sanitation;Toys & Games","5","5","4","4","Yes","No","1","3","3","",""
"2024/08/03 10:04:03 AM GMT+5:30","gbarrett@example.com","Trivandrum","2023-08-20","08:55 AM","Female","Under 18","Daily","Hygiene & Sanitation","5","1","1","3","No","No","1","3","3","",""
"2024/08/03 10:04:35 AM GMT+5:30","sullivansara@example.com","Lucknow","2023-10-27","04:31 PM","Female","35-44","Weekly","Groceries;Electronics;Hygiene & Sanitation","1","2","5","2","No","Yes","2","1","4","",""
"2024/08/03 10:05:08 AM GMT+5:30","davidmcgee@example.com","Kolkata","2023-06-06","10:51 AM","Male","55-64","Bi-weekly","Clothing;Electronics;Home & Kitchen;Stationery","3","5","5","1","No","Yes","3","2","4","",""
"2024/08/03 10:05:36 AM GMT+5:30","jeffkennedy@example.net","Jaipur","2023-12-27","02:48 PM","Male","65 and above","Monthly","Groceries;Clothing;Electronics;Hygiene & Sanitation;Toys & Games;Stationery","2","4","3","5","No","No","3","2","4","",""
"2024/08/03 10:06:08 AM GMT+5:30","levydanny@example.org","Trivandrum","2023-08-02","08:17 PM","Male","55-64","Daily","Electronics;Hygiene & Sanitation;Toys & Games","1","3","1","3","No","Yes","4","5","2","",""
"2024/08/03 10:06:38 AM GMT+5:30","reneebell@example.com","Kolkata","2023-03-07","07:12 PM","Male","Under 18","Weekly","Hygiene & Sanitation;Toys & Games;Stationery","1","5","4","3","Yes","Yes","1","1","2","",""
"2024/08/03 10:07:08 AM GMT+5:30","castanedajared@example.com","Chennai","2023-12-23","12:54 PM","Female","65 and above","Weekly","Groceries;Home & Kitchen;Toys & Games","4","5","3","1","Yes","Yes","1","4","5","",""
"2024/08/03 10:07:37 AM GMT+5:30","raymondflowers@example.org","Ludhiana","2023-09-16","04:08 PM","Male","Under 18","Weekly","Electronics;Home & Kitchen","1","3","1","4","No","No","1","2","4","",""
"2024/08/03 10:08:06 AM GMT+5:30","kimberly31@example.org","Jaipur","2023-10-07","11:42 AM","Female","35-44","Daily","Groceries;Clothing;Toys & Games;Stationery","2","4","3","1","Yes","Yes","2","2","5","",""
"2024/08/03 10:08:34 AM GMT+5:30","iweeks@example.net","Bangalore","2023-11-18","09:47 AM","Female","Under 18","Weekly","Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation","3","3","4","5","Yes","Yes","3","4","2","",""
"2024/08/03 10:09:02 AM GMT+5:30","jnguyen@example.com","Trivandrum","2023-04-04","10:44 AM","Male","35-44","Bi-weekly","Groceries;Hygiene & Sanitation;Toys & Games;Stationery","4","2","4","3","No","No","1","3","2","",""
"2024/08/03 10:09:34 AM GMT+5:30","travis23@example.com","Chennai","2023-04-22","09:15 AM","Male","65 and above","Weekly","Clothing;Stationery","4","5","2","4","No","Yes","4","3","1","",""
"2024/08/03 10:10:07 AM GMT+5:30","gadkins@example.org","Trivandrum","2023-11-17","09:34 AM","Male","65 and above","Weekly","Clothing;Electronics;Home & Kitchen;Toys & Games","2","1","5","3","No","No","1","3","4","",""
"2024/08/03 10:10:39 AM GMT+5:30","katelynalexander@example.org","Mumbai","2023-06-18","05:25 PM","Female","25-34","Monthly","Groceries;Clothing;Toys & Games","3","5","2","1","Yes","Yes","3","3","5","",""
"2024/08/03 10:11:12 AM GMT+5:30","timothy84@example.net","Jaipur","2023-11-02","09:51 AM","Female","35-44","Daily","Electronics;Home & Kitchen;Toys & Games;Stationery","3","2","1","4","Yes","No","4","1","3","",""
"2024/08/03 10:11:38 AM GMT+5:30","jasonsnyder@example.com","Mumbai","2023-10-26","10:35 AM","Female","18-24","Weekly","Hygiene & Sanitation","2","3","3","1","Yes","No","1","4","1","",""
